Date,Adj Close
1995-01-03,6.572710
1995-01-04,6.613790
1995-01-05,6.778107
1995-01-06,6.654868
1995-01-09,6.737026
1995-01-10,6.737026
1995-01-11,6.695950
1995-01-12,6.695950
1995-01-13,6.654868
1995-01-16,6.695950
1995-01-17,6.613790
1995-01-18,6.531631
1995-01-19,6.613790
1995-01-20,6.572710
1995-01-23,6.490552
1995-01-24,6.449473
1995-01-25,6.449473
1995-01-26,6.408393
1995-01-27,6.367311
1995-01-30,6.490552
1995-01-31,6.531631
1996-01-02,8.631984
1996-01-03,8.454917
1996-01-04,8.277851
1996-01-05,8.233589
1996-01-08,8.277851
1996-01-09,8.322120
1996-01-10,8.189320
1996-01-11,8.233589
1996-01-12,8.277851
1996-01-15,8.233589
1996-01-16,8.499185
1996-01-17,8.410650
1996-01-18,8.366383
1996-01-19,8.410650
1996-01-22,8.366383
1996-01-23,8.366383
1996-01-24,8.366383
1996-01-25,8.366383
1996-01-26,8.277851
1996-01-29,8.233589
1996-01-30,8.277851
1996-01-31,8.454917
1997-01-02,13.231287
1997-01-03,13.090528
1997-01-06,12.996690
1997-01-07,12.902851
1997-01-08,12.855939
1997-01-09,12.902851
1997-01-10,12.902851
1997-01-13,12.949774
1997-01-14,12.949774
1997-01-15,12.996690
1997-01-16,13.090528
1997-01-17,13.137452
1997-01-20,13.606645
1997-01-21,13.888163
1997-01-22,13.935079
1997-01-23,13.794323
1997-01-24,13.747406
1997-01-27,13.700485
1997-01-28,13.700485
1997-01-29,13.606645
1997-01-30,13.465888
1997-01-31,13.512802
1998-01-02,15.346482
1998-01-05,15.395518
1998-01-06,15.248434
1998-01-07,15.248434
1998-01-08,15.101328
1998-01-09,15.199400
1998-01-12,15.101328
1998-01-13,15.248434
1998-01-14,15.199400
1998-01-15,14.954247
1998-01-16,15.052303
1998-01-20,15.150367
1998-01-21,15.003278
1998-01-22,14.905222
1998-01-23,14.905222
1998-01-26,14.954247
1998-01-27,14.905222
1998-01-28,14.954247
1998-01-29,14.954247
1998-01-30,14.856180
1999-01-04,14.073502
1999-01-05,14.099419
1999-01-06,14.099419
1999-01-07,14.073502
1999-01-08,14.021667
1999-01-11,14.073502
1999-01-12,14.021667
1999-01-13,13.917997
1999-01-14,13.917997
1999-01-15,13.943911
1999-01-19,13.969828
1999-01-20,14.099419
1999-01-21,14.099419
1999-01-22,13.995751
1999-01-25,13.866154
1999-01-26,13.684725
1999-01-27,13.684725
1999-01-28,13.581059
1999-01-29,13.295959
2000-01-03,14.969457
2000-01-04,14.638631
2000-01-05,14.776474
2000-01-06,15.272695
2000-01-07,15.658648
2000-01-10,15.851620
2000-01-11,15.520806
2000-01-12,15.493246
2000-01-13,15.438103
2000-01-14,15.438103
2000-01-18,15.162419
2000-01-19,15.686217
2000-01-20,15.520806
2000-01-21,15.548378
2000-01-24,15.548378
2000-01-25,15.548378
2000-01-26,15.493246
2000-01-27,15.520806
2000-01-28,15.327839
2000-01-31,15.217558
2001-01-02,23.010500
2001-01-03,23.010500
2001-01-04,22.894283
2001-01-05,22.342255
2001-01-08,22.255102
2001-01-09,22.371315
2001-01-10,22.226044
2001-01-11,22.226044
2001-01-12,22.080778
2001-01-16,21.644968
2001-01-17,21.935507
2001-01-18,22.080778
2001-01-19,22.080778
2001-01-22,21.877401
2001-01-23,21.964563
2001-01-24,21.644968
2001-01-25,22.051722
2001-01-26,21.848343
2001-01-29,21.992453
2001-01-30,22.434065
2001-01-31,22.587465
2002-01-02,23.427723
2002-01-03,23.676481
2002-01-04,23.616768
2002-01-07,23.557074
2002-01-08,23.527220
2002-01-09,23.472490
2002-01-10,23.253595
2002-01-11,23.064539
2002-01-14,22.955086
2002-01-15,22.840658
2002-01-16,22.835680
2002-01-17,22.805841
2002-01-18,22.557083
2002-01-22,22.572001
2002-01-23,22.527224
2002-01-24,22.467522
2002-01-25,22.397873
2002-01-28,22.208822
2002-01-29,22.109312
2002-01-30,22.188915
2002-01-31,22.363056
2003-01-02,20.913961
2003-01-03,21.184324
2003-01-06,21.327459
2003-01-07,20.866241
2003-01-08,20.850338
2003-01-09,20.876848
2003-01-10,20.770821
2003-01-13,20.675394
2003-01-14,20.595871
2003-01-15,20.479240
2003-01-16,20.198261
2003-01-17,19.795374
2003-01-21,19.424274
2003-01-22,19.281128
2003-01-23,19.535591
2003-01-24,19.350050
2003-01-27,19.042566
2003-01-28,19.297035
2003-01-29,19.503788
2003-01-30,19.456076
2003-01-31,19.509085
2004-01-02,26.758617
2004-01-05,26.758617
2004-01-06,26.854731
2004-01-07,26.600321
2004-01-08,26.854731
2004-01-09,27.222212
2004-01-12,27.109158
2004-01-13,26.933880
2004-01-14,27.035662
2004-01-15,27.120462
2004-01-16,26.798201
2004-01-20,26.566393
2004-01-21,26.515518
2004-01-22,26.883007
2004-01-23,26.973459
2004-01-26,27.403141
2004-01-27,27.702782
2004-01-28,27.731049
2004-01-29,27.646238
2004-01-30,27.759306
2005-01-03,44.068138
2005-01-04,43.576534
2005-01-05,41.473808
2005-01-06,42.143120
2005-01-07,42.083897
2005-01-10,41.580418
2005-01-11,40.644577
2005-01-12,40.632717
2005-01-13,40.567566
2005-01-14,40.780800
2005-01-18,41.023659
2005-01-19,41.420506
2005-01-20,41.165806
2005-01-21,41.242809
2005-01-24,40.757111
2005-01-25,39.371098
2005-01-26,39.673183
2005-01-27,39.122322
2005-01-28,39.566559
2005-01-31,39.637642
2006-01-03,56.151390
2006-01-04,56.771648
2006-01-05,57.600662
2006-01-06,58.687576
2006-01-09,59.449036
2006-01-10,59.749928
2006-01-11,59.381493
2006-01-12,59.320076
2006-01-13,58.454220
2006-01-17,58.491062
2006-01-18,58.552471
2006-01-19,58.951611
2006-01-20,58.337532
2006-01-23,58.509495
2006-01-24,59.559563
2006-01-25,60.364002
2006-01-26,60.971935
2006-01-27,61.592171
2006-01-30,60.757015
2006-01-31,61.088623
2007-01-03,81.239792
2007-01-04,83.107506
2007-01-05,82.161011
2007-01-08,83.164291
2007-01-09,81.637329
2007-01-10,82.874046
2007-01-11,85.448479
2007-01-12,86.174126
2007-01-16,88.060776
2007-01-17,88.552956
2007-01-18,89.549866
2007-01-19,90.540543
2007-01-22,89.694992
2007-01-23,90.786652
2007-01-24,92.528145
2007-01-25,92.427193
2007-01-26,92.622826
2007-01-29,91.953964
2007-01-30,93.487289
2007-01-31,93.613472
2008-01-02,59.399319
2008-01-03,57.110527
2008-01-04,54.633099
2008-01-07,56.538296
2008-01-08,55.055748
2008-01-09,56.258698
2008-01-10,56.479763
2008-01-11,57.130009
2008-01-14,55.777527
2008-01-15,54.327492
2008-01-16,56.395237
2008-01-17,55.309345
2008-01-18,54.086899
2008-01-22,56.167660
2008-01-23,62.071842
2008-01-24,59.971554
2008-01-25,59.756985
2008-01-28,62.097870
2008-01-29,62.052303
2008-01-30,60.374710
2008-01-31,60.979443
2009-01-02,41.755661
2009-01-05,40.579842
2009-01-06,42.861504
2009-01-07,41.503689
2009-01-08,40.075912
2009-01-09,38.179203
2009-01-12,35.729565
2009-01-13,37.570305
2009-01-14,36.478451
2009-01-15,37.640293
2009-01-16,38.655128
2009-01-20,35.225651
2009-01-21,39.481010
2009-01-22,36.506458
2009-01-23,38.060219
2009-01-26,37.535294
2009-01-27,38.487148
2009-01-28,41.013760
2009-01-29,38.270195
2009-01-30,36.261497
2010-01-04,60.210892
2010-01-05,59.758575
2010-01-06,59.195042
2010-01-07,59.313690
2010-01-08,58.868763
2010-01-11,59.677010
2010-01-12,58.275566
2010-01-13,59.632526
2010-01-14,59.276608
2010-01-15,58.898422
2010-01-19,59.981052
2010-01-20,58.638924
2010-01-21,57.318996
2010-01-22,55.939785
2010-01-25,56.785114
2010-01-26,57.044662
2010-01-27,57.356083
2010-01-28,57.074341
2010-01-29,56.807362
2011-01-03,87.447121
2011-01-04,85.810509
2011-01-05,86.048691
2011-01-06,85.065178
2011-01-07,84.143173
2011-01-10,83.912666
2011-01-11,83.874237
2011-01-12,85.418633
2011-01-13,85.633774
2011-01-14,86.440559
2011-01-18,87.032188
2011-01-19,86.417511
2011-01-20,86.233109
2011-01-21,86.694145
2011-01-24,86.870842
2011-01-25,88.092545
2011-01-26,88.776390
2011-01-27,89.260460
2011-01-28,87.424057
2011-01-31,89.076057
2012-01-03,102.840073
2012-01-04,100.815544
2012-01-05,102.674034
2012-01-06,101.384964
2012-01-09,100.396400
2012-01-10,101.313782
2012-01-11,100.855110
2012-01-12,98.269073
2012-01-13,100.032623
2012-01-17,101.804092
2012-01-18,101.211006
2012-01-19,100.507126
2012-01-20,101.084450
2012-01-23,102.594910
2012-01-24,103.702095
2012-01-25,105.821541
2012-01-26,106.675629
2012-01-27,107.094788
2012-01-30,106.667717
2012-01-31,107.561394
2013-01-02,110.684265
2013-01-03,111.294510
2013-01-04,110.960884
2013-01-07,111.074806
2013-01-08,110.733070
2013-01-09,111.180580
2013-01-10,111.546768
2013-01-11,110.790039
2013-01-14,111.318893
2013-01-15,112.588272
2013-01-16,112.230263
2013-01-17,112.759132
2013-01-18,112.742828
2013-01-22,113.222900
2013-01-23,113.068321
2013-01-24,112.563835
2013-01-25,112.628922
2013-01-28,111.994270
2013-01-29,112.222092
2013-01-30,110.366920
2013-01-31,105.606926
2014-01-02,99.504868
2014-01-03,100.784035
2014-01-06,102.282013
2014-01-07,101.844391
2014-01-08,102.096848
2014-01-09,101.734985
2014-01-10,102.500793
